Word Mark,Goods and Services,Filing Date,Owner
Spotted Zebra,,,
SPROUT STAR,"IC 025. US 022 039. G & S: children's clothing, namely, dresses, shirts, t-shirts, tank tops, pants, skirts, jumpsuits, sweatshirts, shorts, sleepwear. FIRST USE: 20180301. FIRST USE IN COMMERCE: 20180301","May 3, 2018","(REGISTRANT) Amazon Technologies , Inc. CORPORATION WASHINGTON Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
STARKEY SPRING WATER,IC 032. US 045 046 048. G & S: Bottled water; Mineral waters; Spring water. FIRST USE: 20140904. FIRST USE IN COMMERCE: 20140904,"May 27, 2015","(REGISTRANT) Whole Foods Market IP, L.P. WFM IP Management, Inc., a Delaware partnership LIMITED PARTNERSHIP DELAWARE 550 Bowie Street, 6th Floor Austin TEXAS 78703 (LAST LISTED OWNER) AMAZON TECHNOLOGIES , INC. CORPORATION NEVADA 410 TERRY AVENUE NORTH SEATTLE WASHINGTON 98109"
Stone & Beam,,,
STRATHWOOD,IC 020. US 002 013 022 025 032 050. G & S: Furniture. FIRST USE: 20040325. FIRST USE IN COMMERCE: 20040325,"February 10, 2004","(REGISTRANT) AMAZON.COM, INC. CORPORATION DELAWARE 1200 12TH AVE SOUTH, SUITE 1200 LEGAL DEPARTMENT SEATTLE WASHINGTON 98144 (LAST LISTED OWNER) AMAZON TECHNOLOGIES , INC. CORPORATION NEVADA 410 Terry Ave N Attn: Trademarks Seattle WASHINGTON 98109"
SUITE ALICE,"IC 025. US 022 039. G & S: Clothing, namely, blouses, shirts, pants, slacks, skirts, tank tops, dresses, jumpsuits, and jackets. FIRST USE: 20171212. FIRST USE IN COMMERCE: 20171212","December 5, 2017","(REGISTRANT) Amazon Technologies , Inc. CORPORATION NEVADA 410 Terry Ave N Seattle WASHINGTON 98109"
THE ESTABLISHMENT,"IC 025. US 022 039. G & S: Clothing, footwear, and headwear, namely, shirts, t-shirts, sweatshirts, pants, denim jeans, slacks, shorts, sweaters, scarves, jackets and coats, raincoats, hats, belts, sleepwear, socks, gloves","May 3, 2018","(APPLICANT) Amazon Technologies , Inc. CORPORATION WASHINGTON Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
THE PLUS PROJECT,"IC 025. US 022 039. G & S: Clothing, footwear, and headwear, namely, blouses, shirts, t-shirts, sweatshirts, pants, denim jeans, slacks, shorts, skirts, tunics, tank tops, dresses, tracksuits, leggings, sweaters, pullovers, athletic tights, lingerie, carves, jackets and coats, raincoats, fashion headbands and hats, belts, sleepwear, socks, gloves, and hosiery","April 3, 2018","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
THE PORTLAND PLAID CO,"IC 025. US 022 039. G & S: Clothing, footwear, and headwear, namely, blouses, shirts, t-shirts, sweatshirts, pants, denim jeans, slacks, shorts, skirts, tunics, tank tops, dresses, tracksuits, leggings, sweaters, pullovers, athletic tights, scarves, jackets and coats, raincoats, fashion headbands and hats, belts, sleepwear, gloves","February 20, 2019","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA ATTN: Trademarks 410 Terry Ave N Seattle WASHINGTON 98109"
THE SLUMBER PROJECT,"IC 025. US 022 039. G & S: Clothing, namely, t-shirts, sweatshirts, pants, shorts, tunics, tank tops, tracksuits, leggings, sweaters, pullovers, lingerie, sleepwear, socks. FIRST USE: 20170921. FIRST USE IN COMMERCE: 20170921","April 3, 2018","(REGISTRANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
THIRTY FIVE KENT,"IC 025. US 022 039. G & S: Clothing and headgear, namely, pants, slacks, trousers, dress shirts, knit shirts, t-shirts, sweatshirts, sweaters, vests, shorts, scarves, jackets and coats, belts, hats, wool caps. FIRST USE: 20170630. FIRST USE IN COMMERCE: 20170630","March 11, 2015","(REGISTRANT) Amazon Technologies , Inc. CORPORATION NEVADA 410 Terry Ave N Attn: Trademarks Seattle WASHINGTON 98109"
TOES IN A BLANKET,"IC 025. US 022 039. G & S: Clothing and footwear, namely, shirts, t-shirts, sweatshirts, pants, denim jeans, shorts, skirts, tunics, tank tops, dresses, tracksuits, leggings, sweaters, pullovers, athletic tights, fashion headbands and hats, sleepwear, socks, gloves, and hosiery","April 5, 2018","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Ave North Seattle WASHINGTON 98109"
TOVESS,"IC 033. US 047 049. G & S: Alcoholic beverages, except beer; alcoholic cocktail mixes; alcoholic essences; alcoholic extracts; distilled spirits; gin; liqueurs; pre-mixed alcoholic beverages, other than beer-based; prepared alcoholic cocktail; spirits IC 035. US 100 101 102. G & S: Advertising; business management; business administration; retail store services and online retail store services featuring alcoholic beverages except beer, alcoholic cocktail mixes, alcoholic essences, alcoholic extracts, distilled beverages and spirits, gin, liqueurs, pre-mixed alcoholic beverages other than beer-based, prepared alcoholic cocktail, and spirits; providing an incentive award program for consumers that provides for discounted pricing to consumers for their purchases of specified products, namely, alcoholic beverages except beer, alcoholic cocktail mixes, alcoholic essences, alcoholic extracts, distilled beverages and spirits, gin, liqueurs, pre-mixed alcoholic beverages other than beer-based, prepared alcoholic cocktail, and spirits; administration of a customer loyalty program which provides discounts, coupons, rebates, vouchers and special offers for customers; information, advisory and consultancy services relating to the aforesaid","February 19, 2020","(APPLICANT) Amazon Technologies , Inc. CORPORATION NEVADA Attn: Trademarks 410 Terry Avenue North Seattle WASHINGTON 98109"
TRUITY,"IC 025. US 022 039. G & S: Clothing, namely, shirts, t-shirts, leggings, shorts, tank tops, pullovers, athletic tights. FIRST USE: 20201230. FIRST USE IN COMMERCE: 20201230","August 21, 2018","(REGISTRANT) Amazon Technologies , Inc. CORPORATION NEVADA 410 Terry Ave North Attn: Trademarks Seattle WASHINGTON 98109"
VOX,IC 030. US 046. G & S: Edible salt; edible spices; flavored salt; food flavourings and seasonings; processed herbs; salt; spice blends; seasoning blends; spices; seasoned salt; pepper. FIRST USE: 20171115. FIRST USE IN COMMERCE: 20171115,"May 29, 2015","(REGISTRANT) Whole Foods Market IP, L.P. WFM IP Management, Inc., a Delaware corporation LIMITED PARTNERSHIP DELAWARE 550 Bowie Street, 6th Floor Austin TEXAS 78703 (LAST LISTED OWNER) AMAZON TECHNOLOGIES , INC. CORPORATION NEVADA 410 TERRY AVENUE NORTH SEATTLE WASHINGTON 98109"
Wag,,,
WELLSPRING,"IC 029. US 046. G & S: Cheese. FIRST USE: 20110500. FIRST USE IN COMMERCE: 20110500 IC 030. US 046. G & S: Confectionery, namely, bakery desserts, brownies, cakes, cookies; a full line of bread; bakery goods. FIRST USE: 19810201. FIRST USE IN COMMERCE: 19810201","January 14, 2010","(REGISTRANT) Whole Foods Market IP, L.P. WFM IP Management, Inc., a Delaware corporation LIMITED PARTNERSHIP DELAWARE 550 Bowie Street, 6th Floor Austin TEXAS 78703 (LAST LISTED OWNER) AMAZON TECHNOLOGIES , INC. CORPORATION NEVADA 410 TERRY AVENUE NORTH SEATTLE WASHINGTON 98109"
